section,Trace,Length,Area,Thickness,
1,Xcal1,4.67624,0,0.056,
1,Xcal2,4.6191,0,0.056,
1,Xcal3,4.59535,0,0.056,
1,Xcal4,4.62968,0,0.056,
1,Xcal5,4.60461,0,0.056,
1,Ycal1,4.66313,0,0.056,
1,Ycal2,4.69912,0,0.056,
1,Ycal3,4.59439,0,0.056,
1,Ycal4,4.56006,0,0.056,
1,Ycal5,4.65845,0,0.056,
2,d001,1.06716,0.0845915,0.056,
2,d001_c01,0.69005,0.0283092,0.056,
2,d001_c02,0.788007,0.0323693,0.056,
2,d001_cfa01,0.214035,0,0.056,
2,d001_cfa02,0.223893,0,0.056,
2,d001_INC,0.104714,0.000150492,0.056,
2,d001_INC,0.104727,0.000150595,0.056,
2,d001_SER,0.394874,0.00482633,0.056,
2,d001_SER,0.191491,0.00259625,0.056,
2,d001_SER,0.177963,0.00221081,0.056,
2,d002,2.78162,0.573468,0.056,
2,d002_c01,1.17263,0.072417,0.056,
2,d002_c02,0.637822,0.02903,0.056,
2,d002_c02_DSV1,0.0654899,5.2182e-05,0.056,
2,d002_c02_DSV2,0.0654899,5.2182e-05,0.056,
2,d002_c04_SV599,0.0775468,7.40992e-05,0.056,
2,d002_c04_SV600,0.0775468,7.40992e-05,0.056,
2,d002_c04_SV601,0.0777219,7.36276e-05,0.056,
2,d002_c04_SV602,0.0775631,7.40634e-05,0.056,
2,d002_c04_SV603,0.0776706,7.39577e-05,0.056,
2,d002_c04_SV604,0.0775858,7.40752e-05,0.056,
2,d002_c04_SV605,0.0775144,7.40756e-05,0.056,
2,d002_c04_SV606,0.0773193,7.3981e-05,0.056,
2,d002_c04_SV607,0.077344,7.3934e-05,0.056,
2,d002_c04_SV608,0.0775858,7.40752e-05,0.056,
2,d002_c04_SV609,0.0775858,7.40752e-05,0.056,
2,d002_c04_SV610,0.0773193,7.3981e-05,0.056,
2,d002_c04_SV611,0.0775858,7.40752e-05,0.056,
2,d002_c04_SV612,0.0775858,7.40752e-05,0.056,
2,d002_c04_SV613,0.0777464,7.37793e-05,0.056,
2,d002_cfa01,0.370817,0,0.056,
2,d002_cfa02,0.187572,0,0.056,
2,d002_DSV1,0.0877864,0.000267585,0.056,
2,d002_DSV2,0.0878028,0.000267645,0.056,
2,d002_DSV3,0.0877864,0.000267585,0.056,
2,d002_INC,0.201402,0.000558265,0.056,
2,d002_INC,0.201402,0.000558265,0.056,
2,d002_mito01,0.890183,0.0558184,0.056,
2,d002_SV107,0.0838409,0.000244073,0.056,
2,d002_SV108,0.0838409,0.000244073,0.056,
2,d002_SV109,0.0838409,0.000244073,0.056,
2,d002_SV110,0.0838409,0.000244073,0.056,
2,d002_SV111,0.0838574,0.00024413,0.056,
2,d002_SV112,0.0838574,0.00024413,0.056,
2,d002_SV113,0.0838574,0.00024413,0.056,
2,d002_SV114,0.0838409,0.000244073,0.056,
2,d002_SV115,0.0838409,0.000244073,0.056,
2,d002_SV116,0.0838409,0.000244073,0.056,
2,d002_SV117,0.0838574,0.00024413,0.056,
2,d002_SV118,0.0838409,0.000244073,0.056,
2,d002_SV119,0.0838409,0.000244073,0.056,
2,d002_SV120,0.0838409,0.000244073,0.056,
2,d002_SV121,0.0838409,0.000244073,0.056,
2,d002_SV122,0.0838409,0.000244073,0.056,
2,d002_SV123,0.0838409,0.000244073,0.056,
2,d002_SV124,0.0838409,0.000244073,0.056,
2,d002_SV125,0.0838409,0.000244073,0.056,
2,d002_SV126,0.0838409,0.000244073,0.056,
2,d002_SV127,0.0838409,0.000244073,0.056,
2,d002_SV128,0.0838574,0.00024413,0.056,
2,d002_SV129,0.0838409,0.000244073,0.056,
2,d002_SV130,0.0838409,0.000244073,0.056,
2,d002_SV131,0.0838409,0.000244073,0.056,
2,d002_SV132,0.0838409,0.000244073,0.056,
2,d002_SV133,0.0838409,0.000244073,0.056,
2,d002_SV134,0.0838409,0.000244073,0.056,
2,d002_SV135,0.0838409,0.000244073,0.056,
2,d002_SV136,0.0838409,0.000244073,0.056,
2,d002_SV137,0.0838409,0.000244073,0.056,
2,d002_SV138,0.0838409,0.000244073,0.056,
2,d002_SV139,0.0838409,0.000244073,0.056,
2,d002_SV140,0.0838409,0.000244073,0.056,
2,d002_SV141,0.0838409,0.000244073,0.056,
2,d002_SV142,0.0838409,0.000244073,0.056,
2,d002_SV143,0.0838409,0.000244073,0.056,
2,d002_SV144,0.0838574,0.000244245,0.056,
2,d002_SV145,0.0838409,0.000244073,0.056,
2,d002_SV146,0.0838409,0.000244073,0.056,
2,d002_SV147,0.0838409,0.000244073,0.056,
2,d002_SV148,0.0838409,0.000244073,0.056,
2,d002_SV149,0.0838574,0.00024413,0.056,
2,d002_SV150,0.0838409,0.000244073,0.056,
2,d002_SV151,0.0838409,0.000244073,0.056,
2,d002_SV152,0.0838574,0.000244245,0.056,
2,d002_SV153,0.0838409,0.000244073,0.056,
2,d002_SV154,0.0838409,0.000244073,0.056,
2,d002_SV155,0.0838409,0.000244073,0.056,
2,d002_SV156,0.0838409,0.000244073,0.056,
2,d002_SV157,0.0838409,0.000244073,0.056,
2,d002_SV158,0.0838409,0.000244073,0.056,
2,d002_SV159,0.0838409,0.000244073,0.056,
2,d002_SV160,0.0838574,0.000244245,0.056,
2,d002_SV161,0.0840218,0.000244705,0.056,
